X,Y,grid_ID,Perm
1422.842643,1713.370722,N1,9.54E-15
1495.474663,2000.174082,N2,7.64E-15
1927.542062,1543.896009,C,3.14E-14
2743.478997,2418.981481,W1,2.70E-16
3065.294715,2322.436766,W2,5.03E-17
2831.97832,1756.577462,W3,4.93E-17
2821.251129,1869.212963,W4,1.07E-16
2829.296522,2022.075429,W5,1.62E-15
2346.572945,1678.80533,W6,3.46E-17
2609.389115,1769.98645,W7,1.20E-15
3086.749097,1560.806233,W8,1.03E-15
3255.702349,1458.897922,W9,2.21E-16
3416.610208,1445.488934,W10,2.05E-17
3539.9729,1426.71635,W11,2.30E-16
3303.974706,976.1743451,T1,8.40E-16
3113.567073,1220.217931,T2,6.38E-16
2606.707317,1405.261969,T3,1.35E-15
2571.843948,1287.262873,T4,1.91E-15
2467.253839,1190.718157,T5,4.39E-17
2330.482159,1477.670506,T6,4.48E-16
2217.846658,1212.172538,T7,9.43E-17
